time,open,high,low,close,vwap,volume,count
2025-06-16 16:00:00,319.45,320.53,319.11,319.13,319.87,50.83337310,95
2025-06-16 16:15:00,319.87,320.59,319.05,320.59,319.62,15.58190637,23
2025-06-16 16:30:00,320.96,322.61,320.96,322.18,322.04,23.41436583,46
2025-06-16 16:45:00,322.24,323.99,322.19,323.69,322.98,86.97578622,146
2025-06-16 17:00:00,323.88,326.00,323.73,326.00,325.19,276.54391925,199
2025-06-16 17:15:00,326.00,326.35,325.29,326.22,325.93,407.48758074,242
2025-06-16 17:30:00,326.21,326.53,326.00,326.10,326.30,53.64338757,43
2025-06-16 17:45:00,326.13,326.24,324.78,324.78,325.46,32.12743493,52
2025-06-16 18:00:00,324.75,326.41,324.75,325.82,325.41,41.61546967,44
2025-06-16 18:15:00,325.81,325.86,323.95,325.57,324.80,108.60579765,146
2025-06-16 18:30:00,324.55,325.83,324.16,324.92,325.18,37.95323743,52
2025-06-16 18:45:00,325.33,326.67,324.51,326.49,325.28,19.78803404,57
2025-06-16 19:00:00,326.33,328.49,326.04,328.44,327.19,96.33933137,136
2025-06-16 19:15:00,328.45,331.82,328.45,331.82,330.29,146.84100699,242
2025-06-16 19:30:00,331.81,331.99,327.69,330.41,330.15,77.65535939,120
2025-06-16 19:45:00,330.16,331.91,330.16,331.46,330.95,25.85248205,81
2025-06-16 20:00:00,331.79,331.99,330.31,331.50,330.82,58.75083327,90
2025-06-16 20:15:00,331.23,331.23,327.81,328.21,329.10,37.10053026,49
2025-06-16 20:30:00,328.06,329.68,327.94,328.99,328.66,15.72906548,46
2025-06-16 20:45:00,328.84,329.53,328.39,328.39,328.76,20.67832883,34
2025-06-16 21:00:00,328.50,328.50,327.62,328.13,328.10,66.13323283,43
2025-06-16 21:15:00,328.45,328.50,327.69,328.50,328.14,31.67580554,42
2025-06-16 21:30:00,327.51,328.38,327.51,328.36,327.93,9.12581941,16
2025-06-16 21:45:00,328.35,328.37,327.21,327.55,327.83,28.30805363,35
2025-06-16 22:00:00,327.20,328.49,327.20,328.15,328.23,8.07802915,23
2025-06-16 22:15:00,328.22,328.48,327.22,327.66,327.86,8.72934742,24
2025-06-16 22:30:00,327.37,327.39,324.01,324.01,325.72,142.42306576,108
2025-06-16 22:45:00,324.01,324.01,323.01,323.74,323.33,38.63654492,58
2025-06-16 23:00:00,323.49,325.24,323.40,325.24,324.55,14.08685189,33
2025-06-16 23:15:00,325.63,325.75,323.22,323.78,325.18,22.33263675,35
2025-06-16 23:30:00,323.74,323.86,322.65,323.36,323.07,19.09316198,37
2025-06-16 23:45:00,323.03,323.55,321.77,321.77,322.53,37.35999025,69
2025-06-17 00:00:00,321.66,321.66,319.48,319.92,320.64,86.56118739,109
2025-06-17 00:15:00,319.58,323.21,319.58,322.75,322.19,64.68719119,73
2025-06-17 00:30:00,323.08,323.45,320.34,320.34,322.14,14.74714774,51
2025-06-17 00:45:00,320.35,323.49,320.35,323.49,322.82,12.54465739,35
2025-06-17 01:00:00,323.49,323.99,323.49,323.88,323.79,16.91391990,27
2025-06-17 01:15:00,323.67,325.14,323.67,325.13,324.52,51.68892558,73
2025-06-17 01:30:00,325.08,325.43,324.90,325.22,325.02,13.02665728,19
2025-06-17 01:45:00,324.06,325.35,323.23,324.39,324.13,29.71256772,50
2025-06-17 02:00:00,324.39,324.39,323.02,323.02,323.53,15.24014478,26
2025-06-17 02:15:00,323.28,323.28,322.24,322.91,322.73,3.18976389,14
2025-06-17 02:30:00,323.19,324.17,321.69,324.00,323.14,28.32550123,68
2025-06-17 02:45:00,324.12,325.48,323.55,324.48,324.61,36.25153454,68
2025-06-17 03:00:00,324.24,326.99,324.14,326.99,325.87,62.27075694,167
2025-06-17 03:15:00,326.78,327.85,326.64,326.64,327.24,15.04686646,59
2025-06-17 03:30:00,326.12,326.66,325.68,326.28,326.24,23.50116393,44
2025-06-17 03:45:00,325.96,326.21,323.78,324.13,325.02,31.50112483,62
2025-06-17 04:00:00,324.46,325.28,323.77,323.92,324.57,35.09936298,63
2025-06-17 04:15:00,323.73,323.73,321.25,321.55,322.36,78.90201096,105
2025-06-17 04:30:00,322.12,322.97,321.01,322.97,321.89,17.93703476,35
2025-06-17 04:45:00,323.19,326.91,323.19,326.43,325.46,41.32387146,98
2025-06-17 05:00:00,326.64,326.97,326.07,326.62,326.31,7.57442455,33
2025-06-17 05:15:00,326.40,326.69,324.98,325.53,325.41,21.30476370,33
2025-06-17 05:30:00,324.99,326.80,324.99,326.80,326.34,8.13921301,18
2025-06-17 05:45:00,326.29,326.29,324.65,325.24,325.85,9.42249000,19
2025-06-17 06:00:00,324.84,325.58,324.38,325.20,325.02,3.66668000,18
2025-06-17 06:15:00,325.29,325.61,324.63,324.63,324.86,6.05642565,12
2025-06-17 06:30:00,324.35,324.44,323.89,324.44,324.26,1.76352016,9
2025-06-17 06:45:00,324.23,324.80,323.88,324.80,324.15,11.05178361,20
2025-06-17 07:00:00,324.88,325.99,324.88,325.42,325.80,16.90957012,34
2025-06-17 07:15:00,325.91,325.93,325.06,325.86,325.52,3.40232123,10
2025-06-17 07:30:00,325.99,327.78,325.98,327.78,326.21,189.95234759,109
2025-06-17 07:45:00,327.72,329.12,327.72,329.12,328.52,54.78093357,103
2025-06-17 08:00:00,328.70,328.99,327.86,328.00,328.22,11.50282754,15
2025-06-17 08:15:00,328.00,329.48,328.00,329.21,328.67,41.20912123,90
2025-06-17 08:30:00,329.30,329.49,327.94,328.74,328.90,36.59857759,44
2025-06-17 08:45:00,328.92,329.99,328.92,329.99,329.45,31.24070008,22
2025-06-17 09:00:00,328.58,329.38,328.16,328.28,328.63,15.71638955,34
2025-06-17 09:15:00,328.06,328.65,327.17,328.35,327.66,32.59814754,38
2025-06-17 09:30:00,328.74,329.21,327.11,327.17,328.48,56.80116809,52
2025-06-17 09:45:00,327.65,328.09,327.19,327.77,327.75,10.36909094,22
2025-06-17 10:00:00,327.22,327.22,325.51,325.57,326.16,20.80083116,60
2025-06-17 10:15:00,325.51,325.51,323.51,323.84,324.32,108.99476364,109
2025-06-17 10:30:00,323.72,323.72,322.69,323.36,323.18,22.16126664,38
2025-06-17 10:45:00,323.43,325.54,323.43,325.54,325.20,20.18885746,23
