time,open,high,low,close,vwap,volume,sma_20,ema_20,rsi_14,bb_bbm,bb_bbh,bb_bbl,bb_width,log_return,volatility_14,entropy_14
2023-09-12,139.89,142.8,139.13,140.88,141.47,2396.04870575,142.1035,143.27481777502987,42.23475923780175,142.1035,146.6666054118865,137.5403945881135,9.126210823773022,0.00798179836214957,0.01664257326256249,1.9701814403505693
2023-09-13,140.87,144.73,140.66,143.17,143.67,4490.26651944,142.334,143.26483512978893,47.29801760962881,142.334,146.61484290765125,138.05315709234875,8.561685815302496,0.016124271184285433,0.01491827249216315,1.9701814403140658
2023-09-14,143.17,147.01,142.24,146.48,145.36,4227.34586761,142.65,143.57104130790427,53.62535886857168,142.65,147.168716631964,138.131283368036,9.037433263927994,0.022856164994019174,0.01603174181728332,2.1065773333794184
2023-09-15,146.51,149.31,146.2,147.62,147.63,4453.93422626,142.8845,143.9566564214372,55.60239841847731,142.8845,147.8968187249005,137.8721812750995,10.024637449800991,0.007752503975651165,0.01537227497679408,1.9701814403140656
2023-09-16,147.71,148.0,144.17,144.45,145.66,1720.227994,142.83999999999997,144.00364152415747,49.30752381974537,142.83999999999997,147.77960322293075,137.9003967770692,9.879206445861541,-0.021707977429662184,0.016674672237378205,1.9701814403140656
2023-09-17,144.49,146.33,143.18,145.89,144.59,1876.5634552,142.86700000000002,144.18329471233295,51.967725847436185,142.86700000000002,147.8667243924029,137.86727560759715,9.999448784805736,0.009919486171559909,0.01679812820693925,2.0075563077221315
2023-09-18,145.9,147.92,145.1,145.83,146.42,2648.36431278,142.8165,144.34012378734886,51.84564239115715,142.8165,147.6730389939738,137.9599610060262,9.7130779879476,-0.0004113533583301568,0.016810833765062958,2.0075563077221315
2023-09-19,145.89,148.66,145.82,147.67,147.34,1916.91357167,143.096,144.65725485522037,55.3126808665584,143.096,148.37580075381527,137.81619924618474,10.559601507630532,0.01253849476020855,0.014942145819969528,2.007556307703222
2023-09-20,147.71,148.51,146.1,147.96,147.41,2157.46674276,143.3475,144.97180201186606,55.852187900584084,143.3475,149.03515988786145,137.65984011213854,11.375319775722915,0.0019619124785708077,0.013064488023028994,2.044931175075977
2023-09-21,147.96,147.96,145.01,145.13,147.07,4021.66843078,143.5615,144.98686848692643,49.563656043100245,143.5615,149.17881706422096,137.94418293577903,11.23463412844194,-0.019312074481981873,0.013903187804692553,2.0075563076671727
2023-09-22,145.01,146.89,144.59,144.93,145.5,3886.30917977,143.79850000000002,144.9814524405525,49.14254660352735,143.79850000000002,149.22350976957537,138.37349023042466,10.850019539150708,-0.0013790252478464203,0.01391285292209926,2.0075563076671727
2023-09-23,144.93,145.3,141.42,141.82,143.23,8303.56086016,143.85,144.68036173192843,43.02141879337992,143.85,149.17848946700545,138.52151053299454,10.656978934010908,-0.021692219358574502,0.01510103075305034,1.9459101492892041
2023-09-24,141.57,144.38,141.55,143.86,143.09,4339.34198203,143.976,144.60223204317333,47.62944975297853,143.976,149.17881616050272,138.77318383949728,10.405632321005442,0.014281956563359701,0.015578321940613425,1.8468891236054705
2023-09-25,143.76,145.43,143.06,144.46,144.37,2355.12875271,144.3105,144.5886861342997,48.93746232432366,144.3105,148.66546257159442,139.95553742840556,8.709925143188855,0.0041620481834905194,0.014211680910046565,1.908535281983289
2023-09-26,144.46,145.27,143.12,144.74,144.03,3275.29348745,144.448,144.6030969786521,49.570458757402434,144.448,148.6729288751396,140.2230711248604,8.449857750279193,0.0019363768152809615,0.014119353265261115,1.8711604145744831
2023-09-27,144.71,146.7,144.06,146.53,145.08,3265.38958826,144.575,144.7866115521138,53.53593837670206,144.575,148.8889888734196,140.26101112658037,8.627977746839235,0.0122911562119521,0.013857689622007901,1.833785547165677
2023-09-28,146.6,147.49,145.57,146.16,146.4,2112.03229777,144.6815,144.91741045191247,52.614951888264756,144.6815,149.041336120772,140.321663879228,8.719672241544004,-0.002528273580182538,0.012460848896556916,1.7347645213972132
2023-09-29,146.15,146.66,144.99,146.66,145.5,3861.81768964,144.84150000000002,145.08337136125414,53.772297613059315,144.84150000000002,149.24493627182096,140.4380637281791,8.806872543641873,0.003415070595902127,0.012301995670342422,1.6973896539878401
2023-09-30,146.71,147.96,145.2,146.58,146.31,2720.2395485,145.029,145.2259074220871,53.54694574834165,145.029,149.39304353781998,140.66495646218002,8.728087075639962,-0.0005456281679491986,0.010685019517040088,1.673118363018208
2023-10-01,146.6,149.91,145.51,149.02,147.94,21895.72204024,145.49200000000002,145.5872495723645,59.16765826074801,145.49200000000002,149.46950474543885,141.51449525456118,7.955009490877671,0.016509170627877386,0.011236890626744803,1.5498260463721407
2023-10-02,149.31,149.96,145.53,146.28,148.1,2796.38203179,145.762,145.6532258035679,51.615020996695044,145.762,149.13824406700533,142.38575593299467,6.752488134010662,-0.018557931844401094,0.012456744688364699,1.5740973373415346
2023-10-03,146.18,147.8,145.01,147.2,146.52,2078.37541633,145.9635,145.80053763179953,53.74978536986474,145.9635,149.1738724083023,142.75312759169773,6.420744816604554,0.006269613013595395,0.012087064650746727,1.6731183630405049
2023-10-04,147.23,150.86,145.86,150.5,148.62,3811.57559127,146.1645,146.24810547639007,60.484479712015506,146.1645,149.93378361893724,142.39521638106277,7.538567237874474,0.022170877894154613,0.013493568697926306,1.8337855471604492
2023-10-05,150.49,151.49,148.5,149.53,150.22,4400.53374811,146.26,146.56066685959104,57.81934138160501,146.26,150.26157968807178,142.2584203119282,8.003159376143572,-0.006466042593178038,0.012381199135304381,1.9701814402547524
2023-10-06,149.68,152.65,148.21,152.02,150.11,4369.5537855,146.6385,147.08060334915382,62.399511318038506,146.6385,151.26666281044527,142.01033718955472,9.25632562089055,0.016515049542142043,0.012903332252755435,1.9701814402547526
2023-10-07,152.02,155.48,150.62,155.34,152.14,3088.09308431,147.11100000000002,147.8672125539963,67.47127183395342,147.11100000000002,153.07405592796084,141.1479440720392,11.926111855921647,0.02160417185360677,0.011540312581724726,2.069202465931942
2023-10-08,155.45,156.63,152.92,156.34,154.65,3932.16930833,147.6365,148.67414469171092,68.8348531032165,147.6365,154.78913105437357,140.48386894562645,14.305262108747115,0.006416859800683181,0.01132192846702135,2.1065773333410016
2023-10-09,156.34,156.41,151.85,153.57,154.13,3163.84012056,147.9315,149.1404166258337,61.18389980195703,147.9315,155.5376219422245,140.3253780577755,15.21224388444898,-0.01787663365458285,0.012996742296049264,2.143952200750061
2023-10-10,153.75,154.5,152.05,152.32,153.01,1727.48745416,148.14950000000002,149.44323409004,58.04836188379624,148.14950000000002,155.99262558869162,140.3063744113084,15.686251177383213,-0.0081729180945464,0.013416303731677915,2.1439522007500607
2023-10-11,152.31,154.06,151.02,153.93,152.09,5460.86287526,148.5895,149.8705451290838,60.83256299244775,148.5895,156.68885670284922,140.49014329715075,16.19871340569847,0.010514382578928092,0.013336399790545215,2.1439522007500607
2023-10-12,153.99,154.39,151.03,152.53,152.94,6043.32035249,148.96949999999998,150.12382654536154,57.27306350075754,148.96949999999998,157.05956174265614,140.87943825734382,16.180123485312322,-0.009136655610141368,0.013679441917981646,2.007556307648076
2023-10-13,152.53,154.39,151.01,153.67,152.31,2611.93344751,149.562,150.46155735056522,59.35844097949083,149.562,157.19356235642408,141.93043764357594,15.263124712848139,0.007446148055399013,0.01373011359213736,1.8711604145460912
2023-10-14,153.68,154.41,151.77,152.95,153.1,2128.09070433,150.0165,150.69855188860663,57.45124765969236,150.0165,157.3108547349981,142.72214526500193,14.58870946999616,-0.004696375470328479,0.01386451369610142,1.8711604145460912
2023-10-15,152.99,153.42,152.07,152.36,152.55,2323.12789147,150.4115,150.8567850420727,55.867181943107404,150.4115,157.30403008698468,143.5189699130153,13.785060173969384,-0.0038649289865090586,0.013403420310269656,1.871160414546091
2023-10-16,152.57,154.7,151.1,152.6,152.42,6253.98600852,150.80450000000002,151.02280551425625,56.393884041893294,150.80450000000002,157.23986315991488,144.36913684008516,12.870726319829714,0.001573977239953225,0.012092129603549693,1.9701814402355897
2023-10-17,152.52,152.52,149.45,150.46,150.97,6797.2956116,151.001,150.96920498908898,50.59555366534441,151.001,157.13524127337598,144.86675872662403,12.268482546751954,-0.014122850718281,0.012873704340160844,2.007556307644694
2023-10-18,150.78,152.54,149.64,149.64,150.73,3181.11747217,151.175,150.84261403774715,48.5362430007161,151.175,156.93618217035265,145.41381782964737,11.52236434070528,-0.005464858652130277,0.011518427423388657,1.9701814402327378
