time,open,high,low,close,vwap,volume
2024-05-24,138.67,143.94,136.94,141.11,141.00,10787.84453144
2024-05-25,140.89,142.7,140.34,141.3,141.43,4266.78025382
2024-05-26,141.28,144.0,140.39,142.28,142.32,6231.94816548
2024-05-27,142.29,144.0,140.71,141.26,142.41,9113.38407553
2024-05-28,141.35,144.49,140.82,141.2,142.71,12839.99052477
2024-05-29,141.17,143.49,136.83,139.63,141.17,12856.2230989
2024-05-30,139.64,147.32,139.64,146.12,144.34,13581.062587
2024-05-31,146.11,148.73,143.54,147.83,146.21,10575.6904281
2024-06-01,148.26,150.73,145.94,148.89,148.92,5488.4679108
2024-06-02,148.84,153.0,148.77,152.63,151.57,5158.49726065
2024-06-03,152.6,158.04,151.43,155.18,154.52,11606.52285892
2024-06-04,155.15,161.05,154.89,159.95,157.49,8769.88294856
2024-06-05,160.07,165.25,159.19,163.41,162.68,9624.83607518
2024-06-06,163.25,166.0,162.0,164.78,164.01,17547.84511859
2024-06-07,164.82,174.42,153.21,153.93,163.71,17267.33441872
2024-06-08,153.81,170.45,153.81,169.52,164.06,8414.42762664
2024-06-09,169.22,175.33,166.59,174.03,171.33,24953.02311949
2024-06-10,174.31,182.15,172.96,178.39,178.11,25423.39794319
2024-06-11,178.48,180.96,167.59,174.69,174.55,9991.86690187
2024-06-12,174.66,182.22,174.01,180.49,177.94,10884.95901409
2024-06-13,180.48,181.41,171.47,171.82,176.18,10806.49951319
2024-06-14,171.74,176.71,164.3,170.35,171.56,8604.98869769
2024-06-15,170.38,178.0,169.25,177.28,173.22,4645.12462502
2024-06-16,177.24,178.0,172.29,177.39,175.03,3547.26115035
2024-06-17,176.97,178.19,170.96,174.24,174.61,7397.02196666
2024-06-18,174.23,174.46,166.63,169.65,170.14,9230.24339036
2024-06-19,169.65,172.0,166.66,168.26,169.39,5060.4829225
2024-06-20,168.34,172.15,167.22,169.88,169.46,6349.56325425
2024-06-21,169.88,176.03,158.1,160.11,166.96,15522.96714596
2024-06-22,160.27,168.02,160.27,166.53,164.79,7042.54283316
2024-06-23,166.72,168.26,160.5,164.05,163.35,9607.01578925
2024-06-24,164.1,167.6,155.51,158.89,161.50,13956.49951972
2024-06-25,158.89,164.89,158.26,162.0,162.44,8901.71202198
2024-06-26,162.22,167.38,161.54,164.71,165.11,9706.79575877
2024-06-27,164.36,167.74,163.6,165.71,165.94,6985.0727095
2024-06-28,165.72,169.36,165.71,167.62,167.28,6890.0990754
2024-06-29,167.79,168.48,164.82,165.08,166.56,4871.72120157
2024-06-30,165.3,170.0,164.96,168.08,167.75,4193.27768853
2024-07-01,168.09,174.69,166.91,167.76,170.42,10806.28473812
2024-07-02,167.76,171.01,167.21,168.82,169.31,7270.99426097
2024-07-03,168.8,171.54,165.0,165.7,167.66,7618.30367411
2024-07-04,165.67,166.41,155.09,155.53,160.35,8150.39482714
2024-07-05,155.46,156.35,134.01,155.19,145.50,14766.38495344
2024-07-06,155.26,159.54,153.46,158.5,156.89,6476.35730685
2024-07-07,158.15,159.93,148.65,148.66,154.73,5728.80891694
2024-07-08,149.39,155.28,144.5,154.51,150.81,11406.00809224
2024-07-09,154.43,155.85,152.22,155.25,154.49,5057.37931578
2024-07-10,155.26,159.21,152.39,155.8,155.60,4590.10593147
2024-07-11,155.8,160.91,154.85,158.61,158.33,6264.55337519
2024-07-12,158.54,160.26,157.03,159.95,158.95,4375.34085717
2024-07-13,159.74,162.8,156.6,157.23,160.20,3783.01877159
2024-07-14,157.28,160.24,155.27,159.96,157.51,4392.14341977
2024-07-15,159.96,162.33,157.33,158.85,159.34,9427.86635122
2024-07-16,158.91,163.67,157.16,161.92,160.50,11584.20364249
2024-07-17,162.24,164.25,158.75,160.36,160.76,6649.06830781
2024-07-18,160.31,162.13,159.99,161.11,161.06,3800.64076066
2024-07-19,161.2,163.25,157.68,161.45,160.44,5100.24566931
2024-07-20,161.49,166.0,161.24,163.42,163.56,4059.81058784
2024-07-21,163.44,165.08,162.0,164.73,163.63,3838.95072997
2024-07-22,164.8,165.87,159.62,160.96,162.10,12540.75503681
2024-07-23,160.68,161.89,157.86,160.82,160.02,8074.71564995
2024-07-24,160.95,164.17,158.89,160.19,162.23,6618.46239767
2024-07-25,160.21,163.09,152.13,163.01,156.71,7272.75095529
2024-07-26,163.0,176.99,160.93,161.31,167.18,16637.62017537
2024-07-27,161.3,165.68,160.7,162.67,163.37,4074.91132703
2024-07-28,162.16,165.32,159.9,164.47,163.20,5908.82111545
2024-07-29,164.68,165.58,160.92,161.1,163.64,5001.7800962
2024-07-30,161.14,164.6,155.74,157.78,159.10,16012.50212013
2024-07-31,157.74,161.49,155.75,157.56,159.07,6130.2869218
2024-08-01,157.56,158.48,149.99,156.5,154.93,7909.46659063
2024-08-02,156.62,168.22,155.2,157.94,162.46,16073.39157179
2024-08-03,158.0,161.0,141.63,149.22,153.59,13406.06248872
2024-08-04,149.36,154.0,144.53,150.29,150.52,6940.92327923
2024-08-05,150.2,154.53,136.08,145.88,144.30,29919.66796502
2024-08-06,145.78,151.77,145.78,147.87,149.02,5869.61507029
2024-08-07,147.87,153.18,141.47,145.83,147.89,8843.28336379
2024-08-08,146.1,159.15,145.81,158.07,153.12,7021.42860051
2024-08-09,158.3,159.02,152.4,153.04,155.58,6374.55335811
2024-08-10,152.98,153.29,146.81,150.67,150.00,3353.58751212
2024-08-11,150.76,151.97,148.44,149.27,150.14,3823.39699643
2024-08-12,149.27,151.86,147.78,150.64,149.68,6102.04073807
2024-08-13,150.6,151.42,147.1,147.66,149.63,5621.14888172
2024-08-14,147.62,164.99,147.53,151.22,151.06,9948.84949191
2024-08-15,151.22,153.59,147.54,149.58,150.14,6426.49636255
2024-08-16,149.58,151.78,147.92,148.8,149.67,5087.75775696
2024-08-17,148.81,150.36,148.59,150.36,149.54,2781.13117742
2024-08-18,150.37,152.11,149.77,151.48,151.07,4798.03045686
2024-08-19,151.49,157.22,150.01,155.1,153.58,10673.50338848
2024-08-20,155.13,162.53,153.91,159.6,158.21,12435.98645952
2024-08-21,159.6,162.51,157.05,161.47,159.71,9945.43349007
2024-08-22,161.38,169.94,159.86,168.85,164.20,8444.68498416
2024-08-23,168.79,174.0,163.04,173.49,169.18,12278.25956376
2024-08-24,173.4,176.18,166.87,169.64,171.95,13003.05154316
2024-08-25,169.39,171.76,164.98,166.45,168.34,16274.15965645
2024-08-26,166.37,167.97,161.1,166.53,165.07,11234.53134943
2024-08-27,166.41,168.31,155.0,155.78,160.66,8715.02674061
2024-08-28,155.6,160.12,153.3,158.02,156.90,8570.2795975
2024-08-29,157.99,166.58,155.29,161.72,159.39,11074.55584696
2024-08-30,161.75,168.47,160.58,168.42,164.90,7406.27810457
2024-08-31,168.11,172.39,161.05,168.96,168.38,10600.0990987
2024-09-01,168.99,171.87,163.72,169.72,167.08,7285.39100878
2024-09-02,169.7,170.62,166.89,170.43,168.57,7003.23945179
2024-09-03,170.18,175.49,169.52,172.83,173.08,12630.23612684
2024-09-04,172.83,176.84,170.36,170.75,173.42,9658.22115042
2024-09-05,170.53,176.35,169.62,172.47,173.39,9812.30579031
2024-09-06,172.56,173.71,163.83,165.0,169.52,12270.42322174
2024-09-07,165.07,172.61,162.02,167.42,166.61,13387.96825588
2024-09-08,167.41,176.26,167.24,171.57,171.76,17294.39302714
2024-09-09,171.95,173.43,168.85,170.61,171.25,11200.50873016
2024-09-10,170.55,171.61,165.95,168.14,169.30,6678.78256842
2024-09-11,167.74,174.62,166.68,173.37,170.02,6033.96113197
2024-09-12,173.48,175.12,169.32,171.89,171.59,6032.01108623
2024-09-13,171.79,172.9,169.4,170.31,170.63,6968.39442441
2024-09-14,170.29,171.31,167.81,169.71,169.36,5652.17920469
2024-09-15,169.7,171.87,169.2,170.3,170.40,5191.42848152
2024-09-16,170.33,171.93,167.78,170.55,170.16,6995.77674145
2024-09-17,170.63,172.98,168.73,172.64,171.34,5611.91475249
2024-09-18,172.55,175.0,170.12,171.37,172.66,8028.15044551
2024-09-19,171.41,178.12,169.26,175.41,173.79,8754.32084432
2024-09-20,175.45,178.79,174.5,175.34,177.01,5109.7565081
2024-09-21,175.45,178.66,173.89,176.92,176.49,2911.00004039
2024-09-22,177.0,177.2,174.84,176.96,176.15,2553.34741459
2024-09-23,176.77,177.13,171.76,171.79,174.13,3397.78489438
2024-09-24,171.74,171.88,165.1,169.45,167.87,10297.83603255
2024-09-25,169.37,169.76,164.51,165.49,167.36,5368.36000322
2024-09-26,165.52,166.54,162.89,164.42,164.60,5098.68233912
2024-09-27,164.41,164.56,161.52,164.11,163.24,4976.44242993
2024-09-28,164.07,165.59,157.26,158.63,160.29,11047.14194198
2024-09-29,158.74,158.77,151.79,153.0,154.38,7536.36822063
2024-09-30,152.96,156.68,149.88,154.44,153.40,10673.99807694
2024-10-01,154.26,154.9,140.0,144.82,148.51,14027.93562788
2024-10-02,144.75,149.72,135.38,136.68,141.30,11727.64623227
2024-10-03,136.74,145.32,135.37,144.27,139.92,7863.57909473
2024-10-04,144.35,150.83,143.18,148.96,146.58,4992.15829557
2024-10-05,148.85,155.0,148.85,153.33,151.93,4418.82376825
2024-10-06,153.11,155.0,146.64,147.77,150.23,7920.42368729
2024-10-07,147.8,148.6,144.05,144.6,146.63,3109.22676241
2024-10-08,144.42,152.15,144.13,149.26,148.16,6109.50624125
2024-10-09,149.25,154.79,146.39,147.48,151.30,7252.34358924
2024-10-10,147.48,153.97,147.04,153.16,151.25,6028.47800524
2024-10-11,152.99,155.0,149.74,151.94,152.10,7664.30467828
2024-10-12,152.04,154.51,150.15,150.61,152.84,4750.93735573
2024-10-13,150.55,152.42,147.94,148.47,150.51,4001.06742517
2024-10-14,148.5,157.07,148.44,156.67,154.01,5123.4059153
2024-10-15,156.55,158.1,150.65,153.22,154.06,9127.34726932
2024-10-16,153.32,160.26,152.74,155.84,156.71,6613.20485927
2024-10-17,155.92,159.4,153.9,157.89,157.05,10706.66383387
2024-10-18,157.91,162.78,157.08,159.8,159.87,7931.84260364
2024-10-19,160.08,163.08,158.99,160.77,161.29,3759.82327195
2024-10-20,160.74,165.0,159.22,163.4,161.70,4860.57628681
2024-10-21,163.41,163.5,153.1,155.19,157.19,7492.14692096
